MBTI,Dog,Personality,Img URL
"ISTJ","청렴 결백한, 시베리안 허스키","츤데레적인 성격
좋아하는 사람의 기분을 헤아림
무뚝뚝한 편",https://mblogthumb-phinf.pstatic.net/MjAxOTA3MTFfMjc3/MDAxNTYyODI0MzU1ODA4.pVGwz5zWW1xDb8h3gbD3FKAMc-H8sLMVXrlsvhbO6Nwg.uf3chGUhYDPxX3OTK9Pjvy4S8t7-V36hSPbfeSJp9Ekg.JPEG.dono_box/huskies-44.jpg?type=w800
"ENTP","능력 많은 변론가, 말티즈","활동이 얌전하다
놀기 좋아하고 용감하다
다정하고 순종적이다
야무지고 낯가림이 있다",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKF_IsafDdFKjqtLL30X6vxJN0SdWXNMbjdg&s
"ENTJ","통솔자, 웰시코기","쾌활하고 명랑하다
적극적이고 호기심이 많다
겁이 없고 영리하다",https://i.namu.wiki/i/ds4ZSTgQhBQLABQfR1ECjk2QKOZ2UJTIN9XQTgd3HhJ7cIbKTOvZpw53F6KnLCK3EVBWAV83XLPtx4-eyV2QaQ.webp
"ENFP","예쁜 웃음, 퍼그","조용하고 순둥순둥한 성격이다
이해심, 배려심이 많다
사람을 잘 따른다",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Fawn_pug_2.5year-old.JPG/1200px-Fawn_pug_2.5year-old.JPG
"ESTJ","엄격한, 불독","경계심이 강하고 매우용감하다
쾌활한 성격이다
충성심이 강하고 고집이 세다",https://i.namu.wiki/i/12KWX6jAjKB85YsDoIQlFARKsrRjsutl_T7copz4lohSYBeXqfV4xyCbccSZHM-8HTMGcVkjAcvboZn6YFAwRw.webp
"INFJ","좋은 옹호자, 요크셔테리어","낯가림이 심해 타인에게는 잘 따르지 않는다
성격이 까칠하다
분리불안이 나타날 수 있다",https://i.namu.wiki/i/Xupo0YaCPBEq3AgNbYwIEueR0X1ICQrxhUROzVmFfmRkR7UQV89XDgnAD65W3uBYeAVq0HjICFfs7Nn9SHEiGg.webp
"INTJ","매력쟁이, 푸들","상대에 말에 굉장히 만감하다
다정다감한 사교적인 성격이다
마음의 상처를 잘 입는다",https://i.namu.wiki/i/j2Gz_JHE5A1MlSaglc2dyOecDVT0FXdjUbdzkPEjndZ9gsERUnl0G6rDs8d0LyOf2WeS71GS1yokVhs4EEcLVw.webp
"ISTP","다재다능 재주꾼, 파피용","섬세하고 예민한 성격이다
상대의 감정변화를 잘 알아챈다
질투심이 많은 편이다",https://upload.wikimedia.org/wikipedia/commons/f/f7/RileyPapillon.JPG
"INFP","열정가득한 중재자, 포메라니안","친구들에게 인기가 많다
주인공이고 싶어한다
기분이 안좋으면 티가 잘남",https://cafe24.poxo.com/ec01/ejvpt/HOvhRhvOk+Cp2KY4JuusAg5T53na+Q88SEWskSb9Ko/8BAzWksUIq5Cxa0iMqHXD5IlcFun8qoZd+P4AUmvlyQ==/_/web/product/medium/202406/cf4a0891092ff17aae2f25a476ab4299.jpg
"INTP","아이디어 뱅크, 닥스훈트","다정하고 의리 있다
애교가 많다
새로운 사람 만나는걸 좋아한다","https://static.wixstatic.com/media/a27d24_74548895738742468096d305e2c5d921~mv2.jpg/v1/fill/w_1000,h_748,al_c,q_85,usm_0.66_1.00_0.01/a27d24_74548895738742468096d305e2c5d921~mv2.jpg"
"ESTP","사업가, 시바견","의심 많고 경계를 잘 한다
독립적인 성격이다
자기주장이 강하다",https://i.namu.wiki/i/FTawFvlFB7P2h9VpxaDMM-G3p6Go158fUdf0V4wL4k7i1ZPSKndSWl-vEDBZecPOAFNXir7bZnbykltJGPXgsA.webp
"ESFP","연예인, 비숑","정 많고 온화하다
호기심이 많아서 다 해봐야 적성이 풀리는 스타일이다",https://mblogthumb-phinf.pstatic.net/MjAyMjA4MjRfMTgy/MDAxNjYxMzIwNjIzODk5.OWc2z-YXeLFvyvYahPkySEAO2L4HtljLNqmL1y1D5l0g.jE14uKWjrHUYRNX7VfU95-PxStNktetch_hngxM3Q-Eg.JPEG.ages9090/KakaoTalk_20220824_140238973_17.jpg?type=w800
"ESFJ","외교관, 골든리트리버","새롭고 신나는 상황을 좋아한다
꽤나 이타적인 성격이다
감수성이 뛰어나다",https://i.namu.wiki/i/MknyLnPac51lx9ZzAccsUKZVapDxjOkD-9qHCu-g5jburDdhn9VOg2oPE-75u5XQ_1wxWDrf1G8hQ7DLJFs-3A.webp
"ENFJ","사회운동가, 핀셔","사납고, 성격이 활달하다
겁먹지 않고 맞서 싸운다
에너지가 넘친다",https://i.namu.wiki/i/erGOVBkeinps56_iwKxLboZkXXgqJIvmjYpwTKkB1_u3XJzxExLfBYyI_cJKLn3puQYVq8hjSHTBWBapoNCGLA.webp
"ISFJ","수호자, 슈나우저","매우 활동적이고 호기심이 많은 편이다
경계심이 강하고 겁이 많다
지능이 높고 똑똑하다",https://i.namu.wiki/i/W3okFhzvW2FPWbkh6UtH2ooLcXpA7wEmT11ab1ULSBIHpS5Ri0s4gcYIiIfVbkU32swWj5N0l5AC16N6vK4vbw.webp
"ISFP","호기심 넘치는, 치와와","성격이 매우 거칠고 공격적이다
고집이 세고, 겁이 없다",https://i.namu.wiki/i/bi0OSNU5ODixqHDi0pVmCRWbEj6F1dspKV2L9RBu0gczpvS1IqtZ3_-5BABoA7YtsnbOA0Z7tv0icANgLrpfcA.webp